#NAME=Boom!
#AUTHOR=Grym
#BG_COLOR=70, 130, 180
#WIDTH=9
#HEIGHT=40


00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,07,07,07,07,07,07,01,00
00,07,01,41,01,07,07,07,00
00,07,07,01,01,07,07,07,00
00,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,00
00,31,01,01,01,01,01,31,00
00,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,00
00,07,01,01,07,01,01,07,00
00,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,41,00
00,41,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,01,00
00,01,01,01,01,01,01,07,00
00,01,01,01,07,01,01,07,00
00,07,11,11,07,11,21,07,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
